losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,_runtime,charts/episodic_return,global_step,losses/clipfrac,_step,losses/value_loss,losses/old_approx_kl,losses/policy_loss
-0.013309001922607422,0.5819897651672363,4.5925378799438477e-05,,1763260546.7180946,821.0,7.188940071500838e-05,490.46670269966125,,380288,0.0,3969,0.0006288718432188034,0.0013492554426193237,0.00022456422448158264
,,,500.0,1763260547.8497367,,,491.59834480285645,500.0,381504,,3981,,,
0.004269003868103027,0.48562222719192505,5.9081241488456726e-05,,1763260548.0507488,821.0,7.104454562067986e-05,491.79935693740845,,381696,0.0,3983,0.0029816660098731518,0.002399040386080742,-0.0018679536879062653
0.017744064331054688,0.5462533235549927,1.5385448932647705e-05,,1763260549.3570461,822.0,7.019969052635133e-05,493.10565423965454,,383104,0.0,3997,0.002535286359488964,0.0015081483870744705,0.0005939826369285583
,,,500.0,1763260551.4665616,,,495.21516966819763,500.0,385460,,4020,,,
0.0035409927368164062,0.5954492092132568,3.7604011595249176e-05,,1763260555.046044,826.0,6.643625238211825e-05,498.79465222358704,,389376,0.0,4059,0.0005332804867066443,-0.00016523804515600204,-0.0017815455794334412
0.2731204628944397,0.5004323720932007,6.058253347873688e-06,,1763260557.7251682,827.0,6.466973718488589e-05,501.4737763404846,,392320,0.0,4087,0.0006285713170655072,0.0002509141340851784,0.0002918951213359833
0.0739322304725647,0.586237907409668,2.190377563238144e-05,,1763260558.0605683,827.0,6.443932215915993e-05,501.8091764450073,,392704,0.0,4091,0.002443864941596985,-0.0007746601477265358,-0.0009153746068477631
7.158517837524414e-05,0.5639898777008057,6.157439202070236e-05,,1763260559.3292134,828.0,6.35944670648314e-05,503.0778214931488,,394112,0.0,4105,773.4600219726562,-0.0006248084828257561,-0.00017715245485305786
0.0010039806365966797,0.4768722951412201,2.7596019208431244e-05,,1763260559.7035632,828.0,6.336405203910545e-05,503.4521713256836,,394496,0.0,4109,1054.89794921875,0.00034059491008520126,0.0009199343621730804
-0.007137298583984375,0.5398414134979248,8.997507393360138e-06,,1763260560.2623785,829.0,6.298003427218646e-05,504.0109865665436,,395136,0.0,4115,0.0024642962962388992,-0.00010367389768362045,-0.0013904869556427002
-0.0001074075698852539,0.6007168889045715,2.5677494704723358e-05,,1763260560.6345124,829.0,6.27496192464605e-05,504.3831205368042,,395520,0.0,4119,554.3662109375,-0.002156549133360386,-0.0020751655101776123
-0.015766620635986328,0.5701228380203247,2.469494938850403e-05,,1763260562.9472375,830.0,6.121351907495409e-05,506.69584560394287,,398080,0.0,4144,0.001854415750131011,-0.0010117683559656143,-6.708130240440369e-05
