losses/clipfrac,charts/episodic_return,_timestamp,charts/learning_rate,losses/old_approx_kl,_runtime,global_step,_step,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/approx_kl,losses/policy_loss,charts/episodic_length
0.0,,1763260432.4709542,0.00017903225671034306,-0.0010033035650849342,373.99039912223816,201728,2235,0.00012084919580956921,-0.428075909614563,580.0,0.5645049810409546,0.0007641976699233055,0.012002259492874146,
0.0,,1763260433.2283733,0.00017864823166746646,-0.0020712530240416527,374.74781823158264,202368,2241,0.00019225632422603667,0.03724706172943115,580.0,0.5452731251716614,0.00016560684889554977,0.002659745514392853,
0.0,,1763260434.0465994,0.00017826420662458986,0.0002478780224919319,375.5660443305969,203008,2248,198.43460083007812,7.092952728271484e-05,581.0,0.5319333076477051,0.00029207300394773483,0.0035051628947257996,
0.0,,1763260434.3233018,0.00017811059660743922,-0.00921809021383524,375.84274673461914,203264,2250,0.00024253525771200657,0.08766525983810425,581.0,0.5489999055862427,0.00228720810264349,-0.0037025921046733856,
0.0,,1763260434.6480315,0.00017795698659028858,-0.00910191796720028,376.16747641563416,203520,2253,0.004469522275030613,-0.036226868629455566,581.0,0.5620507001876831,0.00044080987572669983,-0.006039559841156006,
0.0,,1763260436.9310522,0.00017680491146165878,0.010460040532052517,378.45049715042114,205440,2272,212.19842529296875,-6.747245788574219e-05,583.0,0.4783344566822052,0.0008817361667752266,-0.007562203332781792,
0.0,,1763260437.9778054,0.00017626727640163153,0.0004895525053143501,379.4972503185272,206336,2280,0.00016336378757841885,-0.0010513067245483398,584.0,0.45591452717781067,1.7556361854076385e-05,7.479637861251831e-05,
0.0,,1763260439.7251155,0.0001753456162987277,-0.004326730966567993,381.2445604801178,207872,2295,0.0001942370436154306,0.034117698669433594,585.0,0.44734346866607666,0.00037375278770923615,-0.002724776044487953,
0.0,,1763260440.0279593,0.00017519200628157705,0.0013887668028473854,381.5474042892456,208128,2298,0.003708895528689027,-0.021007418632507324,585.0,0.46565401554107666,3.472622483968735e-05,0.0014417581260204315,
,500.0,1763260441.3831813,,,382.90262627601624,209388,2310,,,,,,,500.0
0.0,,1763260441.6535158,0.00017434715118724853,-0.013524653390049934,383.17296075820923,209536,2312,0.0031181094236671925,-0.5248516798019409,587.0,0.4939635097980499,0.0013193096965551376,-0.016958028078079224,
0.0,,1763260442.3607264,0.00017396314069628716,0.0008140895515680313,383.8801712989807,210176,2318,0.000353918265318498,-0.09715688228607178,587.0,0.49779707193374634,6.243959069252014e-05,-0.0016461685299873352,
0.0,,1763260442.7987125,0.0001737327256705612,0.005635552108287811,384.3181574344635,210560,2322,0.0031906450167298317,-0.14621400833129883,588.0,0.5018855929374695,0.0007234010845422745,0.0013928264379501343,
